time,TracKPosX,TracKPosY,TracKPosZ,Speed,GazeOrigin,eyeHitSite,eyeHitType,
2024-05-08 15:29:18:187,341034.719,434805.125,59.508,0.000,x=341053.812_y=434831.656_z=86.567,x=340267.469_y=433893.688_z=65.648,3
2024-05-08 15:29:18:216,341034.719,434805.125,59.508,0.000,x=341053.812_y=434831.750_z=86.547,x=340232.906_y=433858.781_z=66.055,3
2024-05-08 15:29:18:244,341034.719,434805.125,59.508,0.000,x=341053.812_y=434831.844_z=86.540,x=340234.375_y=433862.562_z=66.004,3
2024-05-08 15:29:18:273,341034.719,434805.125,59.508,0.000,x=341053.781_y=434831.969_z=86.528,x=340225.375_y=433858.906_z=66.029,3
2024-05-08 15:29:18:300,341034.719,434805.125,59.508,0.000,x=341053.781_y=434832.156_z=86.536,x=340199.312_y=433836.281_z=66.281,3
2024-05-08 15:29:18:329,341034.719,434805.125,59.508,0.000,x=341053.781_y=434832.219_z=86.558,x=340335.531_y=433889.750_z=96.047,3
2024-05-08 15:29:18:356,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.281_z=86.549,x=340333.844_y=433893.000_z=96.047,3
2024-05-08 15:29:18:384,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.344_z=86.547,x=340330.031_y=433886.594_z=96.047,3
2024-05-08 15:29:18:414,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.312_z=86.578,x=340262.844_y=433724.562_z=96.043,3
2024-05-08 15:29:18:442,341034.719,434805.125,59.508,0.000,x=341053.844_y=434832.344_z=86.593,x=340264.656_y=433726.031_z=96.043,3
2024-05-08 15:29:18:469,341034.719,434805.125,59.508,0.000,x=341053.844_y=434832.344_z=86.600,x=340261.562_y=433723.281_z=96.043,3
2024-05-08 15:29:18:497,341034.719,434805.125,59.508,0.000,x=341053.906_y=434832.344_z=86.551,x=340266.562_y=433749.625_z=96.043,3
2024-05-08 15:29:18:527,341034.719,434805.125,59.508,0.000,x=341053.938_y=434832.344_z=86.514,x=340350.812_y=433880.281_z=96.047,3
2024-05-08 15:29:18:559,341034.719,434805.125,59.508,0.000,x=341053.969_y=434832.344_z=86.424,x=340390.031_y=433930.688_z=96.047,3
2024-05-08 15:29:18:584,341034.719,434805.125,59.508,0.000,x=341054.000_y=434832.344_z=86.434,x=340397.375_y=433946.031_z=96.047,3
2024-05-08 15:29:18:610,341034.719,434805.125,59.508,0.000,x=341054.000_y=434832.312_z=86.423,x=340385.719_y=433895.250_z=96.047,3
2024-05-08 15:29:18:639,341034.719,434805.125,59.508,0.000,x=341054.031_y=434832.281_z=86.402,x=340393.094_y=433904.688_z=96.047,3
2024-05-08 15:29:18:665,341034.719,434805.125,59.508,0.000,x=341054.094_y=434832.312_z=86.365,x=340446.500_y=433967.031_z=96.047,3
2024-05-08 15:29:18:694,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.281_z=86.412,x=340433.812_y=433959.375_z=96.047,3
2024-05-08 15:29:18:722,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.281_z=86.427,x=340425.406_y=433945.312_z=96.047,3
2024-05-08 15:29:18:749,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.281_z=86.440,x=340404.188_y=433912.594_z=96.047,3
2024-05-08 15:29:18:778,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.250_z=86.427,x=340421.250_y=433944.656_z=96.047,3
2024-05-08 15:29:18:806,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.250_z=86.415,x=340421.188_y=433948.312_z=96.047,3
2024-05-08 15:29:18:834,341034.719,434805.125,59.508,0.000,x=341054.125_y=434832.250_z=86.401,x=340430.906_y=433968.750_z=96.047,3
2024-05-08 15:29:18:862,341034.719,434805.125,59.508,0.000,x=341054.094_y=434832.250_z=86.386,x=340437.125_y=433977.938_z=96.047,3
2024-05-08 15:29:18:890,341034.719,434805.125,59.508,0.000,x=341054.094_y=434832.281_z=86.377,x=340461.188_y=434022.344_z=96.047,3
2024-05-08 15:29:18:919,341034.719,434805.125,59.508,0.000,x=341054.062_y=434832.281_z=86.365,x=340469.969_y=434039.062_z=96.047,3
2024-05-08 15:29:18:946,341034.719,434805.125,59.508,0.000,x=341054.031_y=434832.312_z=86.354,x=340469.406_y=434042.031_z=96.047,3
2024-05-08 15:29:18:974,341034.719,434805.125,59.508,0.000,x=341054.000_y=434832.312_z=86.372,x=340443.156_y=434016.406_z=96.047,3
2024-05-08 15:29:19:002,341034.719,434805.125,59.508,0.000,x=341053.969_y=434832.344_z=86.381,x=340435.969_y=434011.750_z=96.047,3
2024-05-08 15:29:19:029,341034.719,434805.125,59.508,0.000,x=341053.938_y=434832.344_z=86.380,x=340437.719_y=434023.031_z=96.047,3
2024-05-08 15:29:19:057,341034.719,434805.125,59.508,0.000,x=341053.938_y=434832.375_z=86.379,x=340448.844_y=434042.562_z=96.047,3
2024-05-08 15:29:19:085,341034.719,434805.125,59.508,0.000,x=341053.906_y=434832.406_z=86.379,x=340447.875_y=434044.344_z=96.047,3
2024-05-08 15:29:19:115,341034.719,434805.125,59.508,0.000,x=341053.875_y=434832.438_z=86.399,x=340449.469_y=434050.156_z=96.047,3
2024-05-08 15:29:19:142,341034.719,434805.125,59.508,0.000,x=341053.875_y=434832.438_z=86.399,x=340281.688_y=433842.562_z=66.449,3
2024-05-08 15:29:19:170,341034.719,434805.125,59.508,0.000,x=341053.844_y=434832.438_z=86.405,x=340299.656_y=433936.875_z=65.112,3
2024-05-08 15:29:19:199,341034.719,434805.125,59.508,0.000,x=341053.844_y=434832.469_z=86.433,x=340308.344_y=434001.219_z=64.189,3
2024-05-08 15:29:19:226,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.500_z=86.452,x=340293.969_y=433985.531_z=64.375,3
2024-05-08 15:29:19:254,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.500_z=86.465,x=340296.531_y=434015.906_z=63.934,3
2024-05-08 15:29:19:284,341034.719,434805.125,59.508,0.000,x=341053.812_y=434832.531_z=86.483,x=340283.094_y=434003.688_z=64.072,3
2024-05-08 15:29:19:311,341034.719,434805.125,59.508,0.000,x=341053.781_y=434832.562_z=86.495,x=340273.875_y=433995.188_z=64.169,3
2024-05-08 15:29:19:339,341034.719,434805.125,59.508,0.000,x=341053.781_y=434832.562_z=86.487,x=340259.062_y=433986.688_z=64.248,3
2024-05-08 15:29:19:368,341034.719,434805.125,59.508,0.000,x=341053.781_y=434832.594_z=86.487,x=340254.969_y=433977.750_z=64.366,3
2024-05-08 15:29:19:397,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.625_z=86.484,x=340243.438_y=433965.969_z=64.504,3
2024-05-08 15:29:19:424,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.625_z=86.490,x=340210.312_y=433918.719_z=65.098,3
2024-05-08 15:29:19:452,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.625_z=86.495,x=340197.188_y=433901.406_z=65.312,3
2024-05-08 15:29:19:481,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.502,x=340188.531_y=433892.438_z=65.417,3
2024-05-08 15:29:19:508,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.524,x=340166.625_y=433863.344_z=65.778,3
2024-05-08 15:29:19:536,341034.719,434805.125,59.508,0.000,x=341053.750_y=434832.656_z=86.521,x=340187.625_y=433883.500_z=65.547,3
