time,Obj1,Obj2,Obj3,
2024-05-08 15:29:27:395,AheadCar_0_0 x=336077.5625 y=429454.71875 z=92.478996,
2024-05-08 15:29:27:420,AheadCar_0_0 x=336076.5 y=429453.40625 z=92.496002,
2024-05-08 15:29:27:445,AheadCar_0_0 x=336074.90625 y=429451.5 z=92.522003,
2024-05-08 15:29:27:470,AheadCar_0_0 x=336073.0 y=429449.15625 z=92.553001,
2024-05-08 15:29:27:495,AheadCar_0_0 x=336071.03125 y=429446.8125 z=92.584999,
2024-05-08 15:29:27:520,AheadCar_0_0 x=336068.90625 y=429444.15625 z=92.620003,
2024-05-08 15:29:27:545,AheadCar_0_0 x=336066.28125 y=429441.0 z=92.663002,
2024-05-08 15:29:27:570,AheadCar_0_0 x=336063.15625 y=429437.21875 z=92.712997,
2024-05-08 15:29:27:595,AheadCar_0_0 x=336060.1875 y=429433.625 z=92.761002,
2024-05-08 15:29:27:620,AheadCar_0_0 x=336056.5 y=429429.15625 z=92.820999,
2024-05-08 15:29:27:645,AheadCar_0_0 x=336052.8125 y=429424.625 z=92.882004,
2024-05-08 15:29:27:670,AheadCar_0_0 x=336052.8125 y=429424.625 z=92.882004,
2024-05-08 15:29:27:695,AheadCar_0_0 x=336048.3125 y=429419.21875 z=92.972,
2024-05-08 15:29:27:720,AheadCar_0_0 x=336043.4375 y=429413.25 z=93.088997,
2024-05-08 15:29:27:745,AheadCar_0_0 x=336038.53125 y=429407.3125 z=93.204002,
2024-05-08 15:29:27:770,AheadCar_0_0 x=336033.0625 y=429400.6875 z=93.334999,
2024-05-08 15:29:27:795,AheadCar_0_0 x=336027.0625 y=429393.40625 z=93.476997,
2024-05-08 15:29:27:820,AheadCar_0_0 x=336021.09375 y=429386.15625 z=93.619003,
2024-05-08 15:29:27:845,AheadCar_0_0 x=336015.0625 y=429378.84375 z=93.761002,
2024-05-08 15:29:27:870,AheadCar_0_0 x=336008.34375 y=429370.6875 z=93.920998,
2024-05-08 15:29:27:895,AheadCar_0_0 x=336000.90625 y=429361.625 z=94.097,
2024-05-08 15:29:27:920,AheadCar_0_0 x=335994.125 y=429353.375 z=94.259003,
2024-05-08 15:29:27:945,AheadCar_0_0 x=335985.53125 y=429342.96875 z=94.461998,
2024-05-08 15:29:27:970,AheadCar_0_0 x=335977.84375 y=429333.625 z=94.643997,
2024-05-08 15:29:27:995,AheadCar_0_0 x=335969.875 y=429323.9375 z=94.833,
2024-05-08 15:29:28:020,AheadCar_0_0 x=335961.53125 y=429313.78125 z=95.031998,
2024-05-08 15:29:28:045,AheadCar_0_0 x=335961.53125 y=429313.78125 z=95.031998,
2024-05-08 15:29:28:070,AheadCar_0_0 x=335952.09375 y=429302.34375 z=95.255997,
2024-05-08 15:29:28:095,AheadCar_0_0 x=335943.03125 y=429291.3125 z=95.470001,
2024-05-08 15:29:28:120,AheadCar_0_0 x=335932.90625 y=429279.0 z=95.710999,
2024-05-08 15:29:28:145,AheadCar_0_0 x=335923.6875 y=429267.78125 z=95.93,
2024-05-08 15:29:28:170,AheadCar_0_0 x=335913.59375 y=429255.53125 z=96.168999,
2024-05-08 15:29:28:195,AheadCar_0_0 x=335902.71875 y=429242.3125 z=96.427002,
2024-05-08 15:29:28:220,AheadCar_0_0 x=335891.1875 y=429228.28125 z=96.700996,
2024-05-08 15:29:28:245,AheadCar_0_0 x=335880.9375 y=429215.78125 z=96.945,
2024-05-08 15:29:28:270,AheadCar_0_0 x=335868.96875 y=429201.21875 z=97.228996,
2024-05-08 15:29:28:295,AheadCar_0_0 x=335857.3125 y=429187.03125 z=97.586998,
2024-05-08 15:29:28:320,AheadCar_0_0 x=335845.40625 y=429172.53125 z=97.959,
2024-05-08 15:29:28:345,AheadCar_0_0 x=335833.4375 y=429157.96875 z=98.332001,
2024-05-08 15:29:28:370,AheadCar_0_0 x=335819.96875 y=429141.59375 z=98.751999,
2024-05-08 15:29:28:395,AheadCar_0_0 x=335808.09375 y=429127.125 z=99.123001,
2024-05-08 15:29:28:420,AheadCar_0_0 x=335793.75 y=429109.65625 z=99.57,
2024-05-08 15:29:28:445,AheadCar_0_0 x=335778.9375 y=429091.65625 z=100.032997,
2024-05-08 15:29:28:470,AheadCar_0_0 x=335765.28125 y=429074.96875 z=100.459999,
2024-05-08 15:29:28:495,AheadCar_0_0 x=335751.0 y=429057.59375 z=100.904999,
2024-05-08 15:29:28:520,AheadCar_0_0 x=335751.0 y=429057.59375 z=100.904999,
2024-05-08 15:29:28:545,AheadCar_0_0 x=335735.53125 y=429038.71875 z=101.389,
2024-05-08 15:29:28:570,AheadCar_0_0 x=335720.71875 y=429020.71875 z=101.849998,
2024-05-08 15:29:28:595,AheadCar_0_0 x=335704.84375 y=429001.34375 z=102.346001,
2024-05-08 15:29:28:620,AheadCar_0_0 x=335690.4375 y=428983.8125 z=102.794998,
2024-05-08 15:29:28:645,AheadCar_0_0 x=335673.65625 y=428963.375 z=103.319,
2024-05-08 15:29:28:670,AheadCar_0_0 x=335656.625 y=428942.59375 z=103.850998,
2024-05-08 15:29:28:695,AheadCar_0_0 x=335639.28125 y=428921.46875 z=104.391998,
2024-05-08 15:29:28:720,AheadCar_0_0 x=335622.71875 y=428901.25 z=104.910004,
2024-05-08 15:29:28:745,AheadCar_0_0 x=335604.3125 y=428878.8125 z=105.485001,
2024-05-08 15:29:28:770,AheadCar_0_0 x=335585.125 y=428855.40625 z=106.084,
2024-05-08 15:29:28:795,AheadCar_0_0 x=335566.34375 y=428832.4375 z=106.670998,
2024-05-08 15:29:28:820,AheadCar_0_0 x=335547.875 y=428809.96875 z=107.247002,
2024-05-08 15:29:28:845,AheadCar_0_0 x=335529.53125 y=428787.59375 z=107.82,
2024-05-08 15:29:28:870,AheadCar_0_0 x=335511.59375 y=428765.6875 z=108.380997,
