time,Obj1,Obj2,Obj3,
2024-05-08 15:29:16:009,
2024-05-08 15:29:16:033,
2024-05-08 15:29:16:058,
2024-05-08 15:29:16:083,
2024-05-08 15:29:16:111,
2024-05-08 15:29:16:286,id=386496144C781D77536130A25FC15593_0 x=331867.410444 y=423448.498074 z=231.89372,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331753.51531 y=423294.834822 z=242.209198,
2024-05-08 15:29:16:292,id=386496144C781D77536130A25FC15593_0 x=331864.180399 y=423450.814816 z=232.110836,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331750.459546 y=423297.375546 z=229.527963,
2024-05-08 15:29:16:322,id=386496144C781D77536130A25FC15593_0 x=331863.584567 y=423451.242176 z=232.150884,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331749.895862 y=423297.844222 z=229.54789,
2024-05-08 15:29:16:352,id=386496144C781D77536130A25FC15593_0 x=331862.968018 y=423451.684394 z=232.192327,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331749.312581 y=423298.329194 z=229.568531,
2024-05-08 15:29:16:378,id=386496144C781D77536130A25FC15593_0 x=331862.427268 y=423452.072246 z=232.228671,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331748.801007 y=423298.754543 z=229.586621,
2024-05-08 15:29:16:405,id=386496144C781D77536130A25FC15593_0 x=331861.902183 y=423452.448862 z=232.263969,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331748.304253 y=423299.16757 z=229.604186,
2024-05-08 15:29:16:431,id=386496144C781D77536130A25FC15593_0 x=331861.375222 y=423452.826824 z=232.299388,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331747.805725 y=423299.582073 z=229.621825,
2024-05-08 15:29:16:455,id=386496144C781D77536130A25FC15593_0 x=331860.874055 y=423453.186285 z=232.333066,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331747.331599 y=423299.976286 z=229.638589,
2024-05-08 15:29:16:482,id=386496144C781D77536130A25FC15593_0 x=331860.339409 y=423453.569758 z=232.369005,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331746.825801 y=423300.396834 z=229.656476,
2024-05-08 15:29:16:509,id=386496144C781D77536130A25FC15593_0 x=331859.811309 y=423453.948537 z=232.404501,id=D66B80DC42C2BB333A7B40A5B1E7B370_0 x=331746.326195 y=423300.812232 z=229.674147,
